MXCMD v1.06
(C) 1999-2025 LostSideDead Software

Idx | Type           | Value
254 |     Identifier | while
255 |     Identifier | test
256 |     Identifier | x
257 |       Argument | --lt
258 |     Identifier | size_w
259 |        Symbols | 

260 |     Identifier | do
261 |        Symbols | 

262 |     Identifier | let
263 |     Identifier | grid_pos
264 |        Symbols | =
265 |        Symbols | (
266 |     Identifier | y
267 |        Symbols | *
268 |     Identifier | size_w
269 |        Symbols | )
270 |        Symbols | +
271 |     Identifier | x
272 |        Symbols | 

273 |     Identifier | let
274 |     Identifier | pos_val
275 |        Symbols | =
276 |     Identifier | size_val
277 |        Symbols | -
278 |        Numeric | 2
279 |        Symbols | 

280 |     Identifier | let
281 |     Identifier | color_value
282 |        Symbols | =
283 |        Symbols | $
284 |        Symbols | (
285 |     Identifier | list_get
286 |     Identifier | block
287 |        Symbols | $
288 |        Symbols | (
289 |     Identifier | list_get
290 |     Identifier | grid
291 |     Identifier | grid_pos
292 |        Symbols | )
293 |        Symbols | )
294 |        Symbols | 

295 |     Identifier | if
296 |     Identifier | test
297 |     Identifier | color_value
298 |       Argument | --eq
299 |        Symbols | -
300 |        Numeric | 1
301 |        Symbols | 

302 |     Identifier | then
303 |        Symbols | 

304 |     Identifier | let
305 |     Identifier | color_value
306 |        Symbols | =
307 |        Symbols | $
308 |        Symbols | (
309 |     Identifier | list_get
310 |     Identifier | block
311 |        Numeric | 0
312 |        Symbols | )
313 |        Symbols | 

314 |     Identifier | printf
315 |         String | Color value is -1, using default color: %s at %d

316 |        Symbols | $
317 |        Symbols | (
318 |     Identifier | list_get
319 |     Identifier | block
320 |        Numeric | 0
321 |        Symbols | )
322 |     Identifier | grid_pos
323 |        Symbols | 

324 |     Identifier | fi
325 |        Symbols | 

326 |     Identifier | sdl_color_string
327 |     Identifier | color_value
328 |        Symbols | 

329 |     Identifier | sdl_rect
330 |     Identifier | grid_x
331 |     Identifier | grid_y
332 |     Identifier | grid_w
333 |     Identifier | grid_h
334 |        Numeric | 1
335 |        Symbols | 

336 |     Identifier | x
337 |        Symbols | =
338 |     Identifier | x
339 |        Symbols | +
340 |        Numeric | 1
341 |        Symbols | 

342 |     Identifier | grid_x
343 |        Symbols | =
344 |     Identifier | grid_x
345 |        Symbols | +
346 |     Identifier | grid_w
347 |        Symbols | 

348 |     Identifier | done
349 |        Symbols | 

350 |     Identifier | grid_y
351 |        Symbols | =
352 |     Identifier | grid_y
353 |        Symbols | +
354 |     Identifier | grid_h
355 |        Symbols | 

356 |     Identifier | y
357 |        Symbols | =
358 |     Identifier | y
359 |        Symbols | +
360 |        Numeric | 1
361 |        Symbols | 

362 |     Identifier | done
363 |        Symbols | 

364 |     Identifier | return
365 |        Numeric | 0
366 |        Symbols | 

367 |     Identifier | end
368 |        Symbols | 

369 |        Symbols | 

370 |     Identifier | define
371 |     Identifier | main
372 |        Symbols | (
373 |        Symbols | )
374 |        Symbols | 

375 |     Identifier | begin
376 |        Symbols | 

377 |     Identifier | init_sdl
378 |        Symbols | 

379 |     Identifier | running
380 |        Symbols | =
381 |        Numeric | 1
382 |        Symbols | 

383 |     Identifier | while
384 |     Identifier | test
385 |     Identifier | running
386 |       Argument | --eq
387 |        Numeric | 1
388 |        Symbols | 

389 |     Identifier | do
390 |        Symbols | 

391 |     Identifier | sdl_set_color
392 |        Numeric | 0
393 |        Numeric | 0
394 |        Numeric | 0
395 |        Numeric | 255
396 |        Symbols | 

397 |     Identifier | sdl_clear
398 |        Symbols | 

399 |     Identifier | draw_grid
400 |        Symbols | 

401 |     Identifier | sdl_present
402 |        Symbols | 

403 |     Identifier | result
404 |        Symbols | =
405 |        Symbols | $
406 |        Symbols | (
407 |     Identifier | sdl_events
408 |        Symbols | )
409 |        Symbols | 

410 |     Identifier | if
411 |     Identifier | test
412 |     Identifier | result
413 |       Argument | --eq
414 |        Numeric | 0
415 |        Symbols | 

416 |     Identifier | then
417 |        Symbols | 

418 |     Identifier | break
419 |        Symbols | 

420 |     Identifier | fi
421 |        Symbols | 

422 |     Identifier | done
423 |        Symbols | 

424 |     Identifier | clean_sdl
425 |        Symbols | 

426 |     Identifier | return
427 |        Numeric | 0
428 |        Symbols | 

429 |     Identifier | end
430 |        Symbols | 

431 |        Symbols | 

432 |     Identifier | main
433 |        Symbols | 

434 |        Symbols | 

